,edges,metagrad,accuracy
150,147299,8.34838065202348e-05,0.860789954662323
151,123242,8.33592566777952e-05,0.860789954662323
152,65500,8.321474160766229e-05,0.8607449531555176
153,168307,8.372117736143991e-05,0.8607049584388733
154,86510,8.321015775436535e-05,0.860664963722229
155,38133,8.298711327370256e-05,0.8606699705123901
156,80732,8.297678141389042e-05,0.8607099652290344
157,167062,8.292508573504165e-05,0.8607349991798401
158,97705,8.29205964691937e-05,0.8606849908828735
159,64930,8.27117619337514e-05,0.8606399893760681
160,45514,8.254506974481046e-05,0.860664963722229
161,50664,8.25185197754763e-05,0.8606549501419067
162,123175,8.249789971159771e-05,0.8606699705123901
163,197165,8.245339995482937e-05,0.8606500029563904
164,157268,8.211559179471806e-05,0.8606249690055847
165,56236,8.20771383587271e-05,0.8606599569320679
166,41816,8.203800825867802e-05,0.8606299757957458
167,102153,8.189378422684968e-05,0.8605899810791016
168,100944,8.18282860564068e-05,0.8605749607086182
169,43635,8.174750109901652e-05,0.8605449795722961
170,119032,8.150213398039341e-05,0.8605599999427795
171,16291,8.138102566590533e-05,0.8605549931526184
172,190967,8.135652024066076e-05,0.860539972782135
173,89059,8.127493492793292e-05,0.8604899644851685
174,78191,8.121618157019839e-05,0.8605149984359741
175,109704,8.116342360153794e-05,0.8604849576950073
176,131868,8.116008393699303e-05,0.8604899644851685
177,141855,8.113336662063375e-05,0.8604549765586853
178,15044,8.111320494208485e-05,0.8604499697685242
179,117326,8.110854832921177e-05,0.8604099750518799
180,6493,8.112787327263504e-05,0.860414981842041
181,54994,8.106320456136018e-05,0.8604199886322021
182,68128,8.106281165964901e-05,0.8604349493980408
183,102947,8.10472629382275e-05,0.8603949546813965
184,103148,8.092488860711455e-05,0.8603549599647522
185,197018,8.084910950856283e-05,0.8603699803352356
186,101718,8.077679376583546e-05,0.8603999614715576
187,19882,8.077430538833141e-05,0.8603999614715576
188,176193,8.069030445767567e-05,0.860414981842041
189,193830,8.047804294619709e-05,0.860414981842041
190,93058,8.033317135414109e-05,0.8603900074958801
191,26771,8.029612945392728e-05,0.8603999614715576
192,148114,8.029510354390368e-05,0.8603649735450745
193,40563,8.019903907552361e-05,0.860385000705719
194,194691,8.014472405193374e-05,0.860385000705719
195,105706,8.006973075680435e-05,0.8603900074958801
196,97698,8.003386028576642e-05,0.8603949546813965
197,25411,7.997467037057504e-05,0.8603649735450745
198,71133,7.994621410034597e-05,0.8603549599647522
199,22502,7.994280167622492e-05,0.8603999614715576
200,164759,7.991784514160827e-05,0.8603799939155579
201,21558,8.084763976512477e-05,0.8604099750518799
202,127224,7.989480945980176e-05,0.8603549599647522
203,64886,7.987571734702215e-05,0.8603249788284302
204,118752,7.980108784977347e-05,0.8603699803352356
205,3061,7.977843779372051e-05,0.8603799939155579
206,40862,7.932105654617772e-05,0.860385000705719
207,174447,7.931823347462341e-05,0.8603549599647522
208,186321,7.922259828774258e-05,0.8603649735450745
209,62920,7.916236063465476e-05,0.8603349924087524
210,183971,7.911997818155214e-05,0.8603349924087524
211,126922,7.908315456006676e-05,0.8603499531745911
212,113424,7.907800318207592e-05,0.8603799939155579
213,64064,8.01522983238101e-05,0.8603499531745911
